Species,Date Collected,Weight (in g),Sex,Plot
DM,7/16/2013,N/A,F,2
DM,7/16/2013,33,M,7
DM,7/16/2013,N/A,M,1
DM,7/16/2013,N/A,M,3
DM,7/18/2013,22,F,8
DM,7/18/2013,29,F,4
DM,7/18/2013,35,F,7
DM,7/18/2013,37,F,6
DM,7/18/2013,41,F,4
DM,7/18/2013,42,F,7
DM,7/18/2013,46,F,4
DM,7/18/2013,36,M,7
DM,7/18/2013,40,M,3
DM,7/18/2013,48,M,7
DM,1/9/2014,36,F,1
DM,1/9/2014,40,M,1
DM,1/20/2014,39,F,1
DM,1/20/2014,43,M,1
DM,3/13/2014,44,F,1
DM,3/13/2014,51,F,1
DM,1/8/2014,35,F,2
DM,1/8/2014,37,F,2
DM,1/8/2014,38,M,2
DM,1/8/2014,38,M,2
DM,1/8/2014,43,M,2
DM,1/8/2014,43,M,2
DM,1/8/2014,45,M,2
DM,1/8/2014,48,M,2
DM,2/18/2014,52,M,2
DO,8/19/2013,52,F,8
DO,10/17/2013,31,F,17
DO,10/17/2013,33,F,3
DO,10/17/2013,48,F,17
DO,10/17/2013,50,F,3
DO,10/18/2013,41,F,8
DO,11/12/2013,44,F,1
DO,11/12/2013,48,M,1
DO,11/14/2013,39,F,8
DO,12/10/2013,40,F,9
DO,12/10/2013,45,M,1
DO,12/11/2013,41,F,8
DS,11/12/2013,117,F,9
DS,11/12/2013,120,F,9
DS,11/12/2013,121,F,1
DS,11/12/2013,115,M,20
DS,11/13/2013,107,F,4
DS,11/13/2013,115,F,4
DS,11/13/2013,118,F,17
DS,11/13/2013,122,F,11
DS,11/13/2013,126,F,11
DS,11/13/2013,N/A,F,14
DS,11/13/2013,N/A,M,17
DS,1/8/2014,N/A,M,2
DS,1/9/2014,135,F,1
DS,1/20/2014,144,F,1
DS,3/13/2014,146,F,1
NA,1/8/2014,N/A,N/A,2
NA,2/18/2014,N/A,M,2
NA,3/11/2014,232,M,3
NA,4/8/2014,N/A,F,3
NA,5/18/2014,182,F,3
NA,7/8/2014,115,F,3
NA,7/8/2014,190,M,3
OL,1/8/2014,N/A,N/A,2
OT,1/8/2014,N/A,N/A,2
OT,2/18/2014,23,F,3
OT,2/18/2014,24,M,3
OT,3/11/2014,22,F,3
OT,3/11/2014,26,M,3
OT,6/9/2014,29,F,3
OX,1/8/2014,N/A,N/A,2
PE,1/8/2014,22,M,2
PF,1/8/2014,7,F,2
PF,1/8/2014,7,M,3
PF,2/18/2014,7,F,2
PF,3/11/2014,8,M,3
